id,상위법령ID,상위법령명,상위조문번호,상위조문제목,조문문장,위임표지어구,API_위임구분,자동추출_위임형식,대상유형,대상명
P05491,000851,평생교육법,16,경비보조 및 지원,② 지방자치단체의 장은 해당 지방자치단체의 조례로 정하는 바에 따라 주민을 위한 평생교육진흥사업을 실시하거나 지원할 수 있다. 이 경우 교육감 또는 지역교육장과 협의하여야 한다.,조례로,위임자치법규,조례,자치법규,부천시 평생학습 기본 조례
P06637,000889,학교급식법,5,학교급식위원회 등,⑤제3항의 규정에 따른 학교급식지원심의위원회의 구성ㆍ운영과 제4항의 규정에 따른 학교급식지원센터의 설치ㆍ운영에 관하여 필요한 사항은 해당지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,목포시 학교급식 지원에 관한 조례
P04159,000900,초ㆍ중등교육법,30,학교회계의 설치,"⑤ 학교회계의 설치에 필요한 사항은 국립학교의 경우에는 교육부령으로, 공립학교의 경우에는 시·도의 교육규칙으로 정한다.",교육규칙으로,위임자치법규,부령,자치법규,강원특별자치도 공립학교 회계규칙
P01162,014226,대안교육기관에 관한 법률 시행령,7,대안교육기관에 대한 경비 지원,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,서울특별시 중구 학교 밖 청소년 지원 조례
P07363,005397,학원의 설립ㆍ운영 및 과외교습에 관한 법률 시행령,10,일시 수용능력 초과 교습의 금지 등,③ 제1항에도 불구하고 실험·실습 또는 실기 교습이 필요한 학원에서 같은 교습과목을 같은 시간에 같은 장소에서 교습받을 수 있는 학습자의 수는 시·도의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,경기도 학원의 설립ㆍ운영 및 과외교습에 관한 조례
P07254,000850,학원의 설립ㆍ운영 및 과외교습에 관한 법률,15,교습비등,"③ 학원설립·운영자, 교습자 또는 개인과외교습자는 시·도의 교육규칙으로 정하는 바에 따라 제1항에 따른 교습비등과 그 반환에 관한 사항을 학습자가 보기 쉬운 장소에 게시하여야 하며, 학습자를 모집할 목적으로 인쇄물·인터넷 등을 통하여 광고를 하는 경우에는 교습비등, 등록증명서 또는 신고증명서 내용 중 대통령령으로 정하는 사항을 표시하여야 한다.",교육규칙으로,위임자치법규,대통령령,자치법규,경기도 학원의 설립ㆍ운영 및 과외교습에 관한 조례 시행규칙
P02565,009621,유아교육법,11,입학,"② 원장은 교육 목적에 적합한 범위에서 유치원규칙으로 정하는 바에 따라 공정하고 투명한 방법으로 유치원에 입학할 유아를 모집·선발하여야 한다. 다만, 제3항에 따른 조례에서 모집·선발 시기 등을 달리 정한 경우에는 이에 따라야 한다.",조례에서,위임자치법규,조례,자치법규,대구광역시 유치원 유아 모집ㆍ선발에 관한 조례
P03338,000898,지방교육자치에 관한 법률,30,보조기관,"⑤교육감 소속하에 보조기관을 두되, 그 설치·운영 등에 관하여 필요한 사항은 대통령령으로 정한 범위 안에서 조례로 정한다.",조례로,위임자치법규,대통령령,자치법규,충청남도교육청 행정기구 설치 조례
P02684,009621,유아교육법,19,유치원회계의 운영,"⑥ 유치원회계의 운영에 필요한 사항은 국립유치원의 경우에는 교육부령으로, 공립유치원의 경우에는 시·도의 교육규칙으로 정한다.",교육규칙으로,위임자치법규,부령,자치법규,제주특별자치도 공립학교회계 규칙
P05648,000851,평생교육법,16,경비보조 및 지원,② 지방자치단체의 장은 해당 지방자치단체의 조례로 정하는 바에 따라 주민을 위한 평생교육진흥사업을 실시하거나 지원할 수 있다. 이 경우 교육감 또는 지역교육장과 협의하여야 한다.,조례로,위임자치법규,조례,자치법규,김포시 평생학습 조례
